;enlace;address;price;expensas;tipo;superficie;cantidad_ambientes;cantidad_dormitorios;cantidad_banos;latitud;longitud;UNNE;UTN;UCES;UCuencaPlata;UCSalta;UGastónDachary;US21
49;https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-1-ambiente--16010187;AV MARCONI 100;140000.0;;Departamento;32;;;1;-27,462788;-59,00172;17.0;25.0;25.0;16.0;18.0;18.0;14.0
50;https://www.argenprop.com/departamento-en-alquiler-en-macrocentro-2-ambientes--16042085;RODRIGUEZ PEÑA AV. 200;200000.0;;Departamento;30;2;1;1;-27,74898;-59,012367;318.0;332.0;334.0;322.0;327.0;327.0;330.0
51;https://www.argenprop.com/departamento-en-alquiler-en-espana-3-ambientes--16071370;AZOPARDO JUAN B. 1800;180000.0;;Departamento;70;3;2;1;-27,441233;-59,016018;40.0;38.0;35.0;36.0;35.0;34.0;26.0
52;https://www.argenprop.com/departamento-en-alquiler-en-villa-centenario-3-ambientes--16098191;ALEM LEANDRO N. 200;350000.0;18000.0;Departamento;55;3;2;1;-27,4604;-58,991997;8.0;16.0;16.0;6.0;9.0;8.0;8.0
53;https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--16098223;AYACUCHO 100;300000.0;18000.0;Departamento;35;2;1;1;-27,448915;-58,981865;16.0;3.0;1.0;12.0;8.0;8.0;11.0
54;https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--16140470;VEDIA 100;350000.0;;Departamento;65;3;2;1;-27,45111;-58,989655;14.0;10.0;8.0;10.0;7.0;6.0;3.0
55;https://www.argenprop.com/departamento-en-alquiler-en-santa-rita-3-ambientes--16143834;FOTHERINGHAM 2000;380000.0;;Departamento;80;3;2;2;-27,452488;-59,021606;39.0;42.0;40.0;36.0;36.0;36.0;28.0
56;https://www.argenprop.com/departamento-en-alquiler-en-villa-alta-2-ambientes--16143898;RAUL B DIAZ 300;220000.0;18000.0;Departamento;40;2;1;1;-27,437546;-58,99653;31.0;22.0;20.0;26.0;23.0;23.0;17.0
57;https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--16204446;AV LAS HERAS 500;260000.0;18000.0;Departamento;50;3;2;1;-27,46134;-58,98416;2.0;12.0;13.0;2.0;6.0;6.0;13.0
58;https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--16204447;AYACUCHO 100;300000.0;18000.0;Departamento;35;2;1;1;-27,448915;-58,981865;16.0;3.0;1.0;12.0;8.0;8.0;11.0
59;https://www.argenprop.com/departamento-en-alquiler-en-llaponagat-4-ambientes--16218604;PJE. ARTURO LESTANI 100;350000.0;;Departamento;55;4;3;1;-27,480268;-58,97621;20.0;32.0;34.0;24.0;28.0;28.0;34.0
60;https://www.argenprop.com/departamento-en-alquiler-en-villa-central-norte-1-ambiente--16220727;OBLIGADO 900;170000.0;15900.0;Departamento;35;;;1;-27,46096;-58,980816;3.0;11.0;12.0;4.0;6.0;7.0;15.0
61;https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-2-ambientes--16139434;NECOCHEA 1200;140000.0;;Departamento;32;2;1;1;-27,458275;-59,00007;17.0;22.0;21.0;14.0;15.0;15.0;9.0
62;https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--16244431;AV. RIVADAVIA 700;450000.0;;Departamento;100;2;1;1;-27,441223;-58,98858;25.0;14.0;11.0;20.0;16.0;16.0;13.0
63;https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--9387008;AV. ALVEAR 200;250000.0;;Departamento;48;2;1;1;-27,420132;-59,035812;70.0;65.0;63.0;66.0;64.0;63.0;55.0
64;https://www.argenprop.com/departamento-en-alquiler-en-villa-central-norte-1-ambiente--16272553;Avenida 9 Julio 1000;150000.0;;Departamento;40;;;1;-27,459541;-58,977287;7.0;9.0;11.0;8.0;8.0;8.0;17.0
65;https://www.argenprop.com/departamento-en-alquiler-en-resistencia-4-ambientes--16276040;Donovan 700;330000.0;77000.0;Departamento;54;4;2;1;-27,453806;-58,996452;16.0;17.0;15.0;12.0;12.0;11.0;3.0
66;https://www.argenprop.com/departamento-en-alquiler-en-villa-alta-1-ambiente--16292884;roberto mora 200;200000.0;;Departamento;32;;;1;-27,439072;-58,99601;29.0;21.0;18.0;24.0;21.0;21.0;15.0
67;https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--16298133;AV.ALVEAR 200;280000.0;50000.0;Departamento;45;2;1;1;-27,420132;-59,035812;70.0;65.0;63.0;66.0;64.0;63.0;55.0
68;https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--16300177;Avenida Alberdi 200;500000.0;70000.0;Departamento;85;3;2;1;-27,452965;-58,988785;12.0;9.0;8.0;7.0;5.0;4.0;4.0
69;https://www.argenprop.com/departamento-en-alquiler-en-resistencia-2-ambientes--16306793;2 DE FEBRERO 100;200000.0;20000.0;Departamento;38;2;1;1;-27,461487;-59,002506;18.0;25.0;24.0;16.0;18.0;18.0;13.0
70;https://www.argenprop.com/departamento-en-alquiler-en-villa-del-carmen-2-ambientes--16312456;NICOLAS R. ACOSTA 200;270000.0;30000.0;Departamento;38;2;1;1;-27,46207;-58,97759;6.0;12.0;14.0;8.0;9.0;10.0;18.0
71;https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--16319376;SARMIENTO AV. 500;350000.0;130000.0;Departamento;50;2;1;1;-27,446606;-58,98171;18.0;5.0;3.0;14.0;10.0;10.0;12.0
72;https://www.argenprop.com/departamento-en-alquiler-en-centro-2-ambientes--15313516;Cordoba 700;350000.0;50000.0;Departamento;51;2;1;1;-27,451601;-58,973778;16.0;5.0;7.0;14.0;11.0;12.0;18.0
73;https://www.argenprop.com/departamento-en-alquiler-en-macrocentro-1-ambiente--6581256;Cordoba 700, Piso 3;280000.0;;Departamento;37;;;1;-27,451546;-58,973934;16.0;5.0;7.0;14.0;11.0;11.0;18.0
74;https://www.argenprop.com/departamento-en-alquiler-en-resistencia-3-ambientes--16334061;Vedia 300;380000.0;100000.0;Departamento;50;3;2;1;-27,452078;-58,99142;14.0;12.0;10.0;10.0;8.0;7.0;1.0
75;https://www.argenprop.com/departamento-en-alquiler-en-centro-4-ambientes--16347647;AVALOS 300;;220000.0;Departamento;200;4;3;3;-27,442776;-58,990894;24.0;14.0;12.0;19.0;15.0;15.0;11.0
76;https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--16347658;SALTA 300;700000.0;250000.0;Departamento;100;3;2;2;-27,451162;-58,991714;15.0;12.0;10.0;11.0;9.0;8.0;2.0
77;https://www.argenprop.com/departamento-en-alquiler-en-centro-5-ambientes--15814437;9 DE JULIO 300;450000.0;110000.0;Departamento;115;5;4;3;-27,45421;-58,984207;10.0;6.0;6.0;5.0;1.0;1.0;8.0
78;https://www.argenprop.com/departamento-en-alquiler-en-llaponagat-3-ambientes--16361963;Av. Chaco 1100;350000.0;;Departamento;62;3;2;1;-27,47257;-58,982048;10.0;24.0;25.0;14.0;18.0;19.0;24.0
79;https://www.argenprop.com/departamento-en-alquiler-en-villa-centenario-2-ambientes--6582167;ARBO Y BLANCO 1100, Piso P.B.;170000.0;;Departamento;30;2;1;1;-27,464682;-58,99149;7.0;19.0;19.0;8.0;12.0;11.0;13.0
80;https://www.argenprop.com/departamento-en-alquiler-en-centro-3-ambientes--16373452;AV SARMIENTO 700;;;Departamento;80;3;2;2;-27,445171;-58,980213;20.0;6.0;4.0;16.0;12.0;12.0;15.0
